,Type, Floor, Area, Structure, Inarea, Architectural_type, Orientation, Building_structure, Situation, Ratio, Elevator, Years, Price, PerPrice, Region, No
55,2室1厅1厨1卫,低楼层 (共9层),72.55㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,无,70年,74.9万,10324元/平米,安宁区 交大 ,
56,2室1厅1厨1卫,中楼层 (共6层),53㎡,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,一梯三户,暂无数据,70年,64万,12076元/平米,七里河区 秀川 ,
57,3室2厅1厨2卫,低楼层 (共18层),126.59㎡,平层,97.49㎡,板楼,南 北,钢混结构,精装,两梯两户,有,70年,200万,15800元/平米,城关区 碧桂园 ,
58,2室2厅1厨1卫,高楼层 (共7层),80.51㎡,平层,73.75㎡,板楼,南 北,框架结构,精装,一梯两户,无,70年,94万,11676元/平米,城关区 雁滩高新区 ,
59,3室2厅1厨2卫,高楼层 (共9层),144.06㎡,平层,144.06㎡,板楼,南 北,钢混结构,简装,一梯两户,无,70年,170万,11801元/平米,七里河区 吴家园 ,
60,3室2厅1厨1卫,中楼层 (共6层),129.3㎡,平层,109.15㎡,板楼,南 北,钢混结构,精装,一梯三户,无,70年,144万,11137元/平米,城关区 北面滩 ,
61,3室2厅1厨1卫,中楼层 (共28层),147.21㎡,平层,115.96㎡,平房,南 北,框架结构,精装,一梯四户,有,70年,196万,13315元/平米,城关区 北面滩 ,
62,3室2厅1厨1卫,中楼层 (共8层),148.6㎡,平层,119.58㎡,板楼,南 北,框架结构,简装,一梯两户,无,70年,185万,12450元/平米,城关区 东方红广场 ,
63,3室2厅1厨2卫,低楼层 (共33层),115.84㎡,平层,94.73㎡,板塔结合,东南,钢混结构,精装,两梯四户,有,70年,162万,13985元/平米,城关区 北面滩 ,
64,4室2厅1厨2卫,高楼层 (共18层),137.45㎡,平层,109.49㎡,板楼,南 北,钢混结构,精装,两梯两户,有,70年,174万,12660元/平米,安宁区 莫高大道 ,
65,2室1厅1厨1卫,高楼层 (共9层),95㎡,平层,73.3㎡,板楼,东 西,框架结构,精装,一梯三户,无,70年,155万,16316元/平米,城关区 兰大盘旋路 ,
66,2室1厅1厨1卫,中楼层 (共8层),70.42㎡,平层,58.15㎡,板楼,南 北,框架结构,精装,一梯两户,无,70年,86万,12213元/平米,城关区 火车站 ,
67,3室2厅1厨2卫,中楼层 (共17层),159.77㎡,平层,129.81㎡,板塔结合,南 北,框架结构,简装,一梯三户,有,70年,248万,15523元/平米,城关区 西关南关 ,
68,3室2厅1厨1卫,中楼层 (共12层),140.83㎡,平层,119.64㎡,板楼,南 北,框架结构,简装,一梯两户,无,70年,215万,15267元/平米,城关区 大润发 ,
