,Type,Floor,Area,Structure,Inarea,Architectural_type,Orientation,Building_structure,Situation,Ratio,Elevator,Years,Price,PerPrice,Region,No,No,No
93,2室1厅1厨1卫,低楼层 (共6层),70.25,平层,暂无数据,暂无数据,南 北,未知结构,简装,一梯三户,暂无数据,70年,72.5,10321,安宁区,,,
94,3室2厅1厨1卫,中楼层 (共30层),110,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯两户,有,70年,105,9546,城关区,,,
95,2室2厅1厨1卫,中楼层 (共8层),96,平层,暂无数据,板楼,东 西,框架结构,简装,一梯两户,无,70年,82,8542,西固区,,,
96,3室2厅1厨1卫,低楼层 (共32层),108,平层,85.35㎡,板楼,南 北,钢混结构,精装,两梯四户,有,70年,160,14815,安宁区,,,
97,3室2厅1厨2卫,高楼层 (共18层),142.74,平层,120.88㎡,塔楼,西 东北,框架结构,简装,一梯三户,暂无数据,70年,218,15273,城关区,,,
98,3室2厅1厨2卫,中楼层 (共24层),127.51,平层,101.87㎡,板楼,南,框架结构,精装,两梯六户,有,70年,165,12941,城关区,,,
99,3室2厅1厨1卫,中楼层 (共12层),110.38,平层,89.31㎡,板楼,南 北,框架结构,简装,一梯两户,暂无数据,70年,148,13409,城关区,,,
100,3室2厅1厨2卫,中楼层 (共8层),115.63,平层,暂无数据,板塔结合,南 北,框架结构,精装,一梯两户,暂无数据,70年,158,13665,城关区,,,
101,5室2厅1厨3卫,中楼层 (共23层),334,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,有,70年,430,12875,城关区,,,
102,2室2厅1厨1卫,低楼层 (共26层),124,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,70年,150,12097,城关区,,,
103,2室1厅1厨1卫,高楼层 (共33层),100,复式,77㎡,板楼,南 北,钢混结构,精装,一梯六户,无,70年,260,26000,城关区,,,
104,2室1厅1厨1卫,高楼层 (共8层),76.41,平层,暂无数据,板楼,南 北,钢结构,简装,一梯三户,无,70年,98,12826,城关区,,,
105,3室1厅1厨2卫,高楼层 (共18层),122.67,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,70年,165,13451,安宁区,,,
