房屋户型	所在楼层	建筑面积	户型结构	套内面积	建筑类型	房屋朝向	建筑结构	装修情况	梯户比例	配备电梯	产权年限	房屋总价	每平米售价	房屋地区
2室1厅1厨1卫	中楼层 (共6层)	60㎡	平层	48.01㎡	板楼	南	混合结构	精装	一梯三户	无	70年	68万	11334元/平米	城关区 二热 	
3室2厅1厨2卫	中楼层 (共8层)	156㎡	平层	145.2㎡	板塔结合	南 北	框架结构	精装	一梯两户	无	70年	156万	10000元/平米	城关区 北面滩 	
3室2厅1厨1卫	低楼层 (共22层)	121.72㎡	平层	94.82㎡	板楼	南 北	钢混结构	精装	两梯四户	有	70年	169万	13885元/平米	安宁区 海关 	
2室1厅1厨1卫	高楼层 (共7层)	52.94㎡	平层	暂无数据	板楼	南	钢混结构	简装	一梯三户	无	70年	62万	11712元/平米	城关区 西关南关 	
3室2厅1厨2卫	中楼层 (共28层)	131.5㎡	平层	101.45㎡	暂无数据	南 北	未知结构	简装	两梯三户	有	70年	206万	15666元/平米	七里河区 金港城 	
3室2厅1厨2卫	低楼层 (共18层)	121㎡	平层	暂无数据	板楼	南 北	框架结构	精装	两梯三户	有	70年	144.5万	11943元/平米	城关区 碧桂园 	
4室2厅1厨2卫	低楼层 (共25层)	180㎡	平层	暂无数据	板楼	南 北	钢混结构	毛坯	两梯两户	有	70年	180万	10000元/平米	城关区 碧桂园 	
2室2厅1厨1卫	中楼层 (共14层)	90.12㎡	平层	77.36㎡	板楼	南 北	框架结构	精装	一梯四户	无	70年	88万	9765元/平米	西固区 西固区 	
2室2厅1厨1卫	中楼层 (共8层)	87.7㎡	平层	72.58㎡	板楼	南	框架结构	精装	一梯三户	无	70年	79万	9008元/平米	西固区 西固区 	
2室1厅1厨1卫	高楼层 (共6层)	56.25㎡	平层	暂无数据	塔楼	南 北	砖混结构	简装	一梯两户	无	70年	150万	26667元/平米	城关区 东方红广场 	
2室1厅1厨1卫	低楼层 (共18层)	94.6㎡	平层	暂无数据	塔楼	南 北	框架结构	精装	一梯四户	有	70年	85万	8986元/平米	城关区 九州 	
3室2厅1厨2卫	中楼层 (共11层)	142.56㎡	平层	暂无数据	板楼	东 西	框架结构	精装	一梯两户	有	70年	140万	9821元/平米	西固区 西固区 	
2室2厅1厨1卫	高楼层 (共8层)	79㎡	平层	暂无数据	板塔结合	东 西	框架结构	精装	一梯两户	无	70年	92万	11646元/平米	西固区 西固区 	
3室2厅1厨2卫	低楼层 (共18层)	126.59㎡	平层	97.49㎡	板楼	南 北	钢混结构	精装	两梯两户	有	70年	200万	15800元/平米	城关区 碧桂园 	
3室2厅1厨1卫	低楼层 (共26层)	114㎡	平层	114㎡	板楼	南 北	框架结构	精装	两梯三户	有	70年	114万	10000元/平米	城关区 碧桂园 	
2室1厅1厨1卫	高楼层 (共8层)	71.98㎡	平层	61.76㎡	板塔结合	西 东	框架结构	简装	一梯三户	无	70年	73.9万	10267元/平米	城关区 大润发 	
2室0厅1厨1卫	中楼层 (共8层)	41.73㎡	平层	暂无数据	塔楼	东 西	框架结构	简装	一梯三户	无	70年	125万	29955元/平米	城关区 兰大盘旋路 	
2室2厅1厨1卫	低楼层 (共26层)	94.25㎡	平层	67.58㎡	板楼	南 北	钢混结构	精装	两梯四户	有	70年	136万	14430元/平米	城关区 北面滩 	
2室2厅1厨1卫	低楼层 (共9层)	92.76㎡	平层	80.43㎡	板楼	南	钢混结构	简装	两梯三户	有	70年	130万	14015元/平米	安宁区 安宁庭院 	
2室1厅1厨1卫	高楼层 (共6层)	57.19㎡	平层	暂无数据	板塔结合	南 北	混合结构	简装	一梯三户	无	70年	110万	19235元/平米	城关区 东方红广场 	
